[131.179.150.72:12664] at [2016-03-18 20:41:17]
1458362713425|  [CIRCLE] | retrieving node of index 18
1458362713425|  [CIRCLE] | retrieved node [54.183.53.167:12664]
1458362713425|[INTERNAL] | heartbeats sent to node [54.183.53.167:12665]
1458362714425|  [CIRCLE] | retrieving node of index 19
1458362714425|  [CIRCLE] | retrieved node [54.153.110.173:12664]
1458362714426|[INTERNAL] | heartbeats sent to node [54.153.110.173:12665]
1458362715426|  [CIRCLE] | retrieving node of index 0
1458362715426|  [CIRCLE] | retrieved node [142.103.2.2:12664]
1458362715426|[INTERNAL] | heartbeats sent to node [142.103.2.2:12665]
1458362716399|[INTERNAL] | heartbeats received from node [134.197.113.3:12665]
1458362716426|  [CIRCLE] | retrieving node of index 1
1458362716426|  [CIRCLE] | retrieved node [128.208.4.99:12664]
1458362716427|[INTERNAL] | heartbeats sent to node [128.208.4.99:12665]
1458362717412|[INTERNAL] | heartbeats received from node [134.197.113.4:12665]
1458362717427|  [CIRCLE] | retrieving node of index 2
1458362717427|  [CIRCLE] | retrieved node [128.208.4.198:12664]
1458362717427|[INTERNAL] | heartbeats sent to node [128.208.4.198:12665]
1458362718427|  [CIRCLE] | retrieving node of index 3
1458362718428|  [CIRCLE] | retrieved node [52.24.167.227:12664]
1458362718428|[INTERNAL] | heartbeats sent to node [52.24.167.227:12665]
1458362718903|[INTERNAL] | heartbeats received from node [130.253.21.121:12665]
1458362719428|  [CIRCLE] | retrieving node of index 4
1458362719428|  [CIRCLE] | retrieved node [52.27.213.97:12664]
1458362719428|[INTERNAL] | heartbeats sent to node [52.27.213.97:12665]
1458362719428|  [CIRCLE] | removed node [54.215.229.242:12664]
1458362719428|  [CIRCLE] | new index of self is 16
1458362719428|  [CIRCLE] | removed node [52.53.219.93:12664]
1458362719428|  [CIRCLE] | new index of self is 15
1458362719428|  [CIRCLE] | removed node [52.36.0.9:12664]
1458362719428|  [CIRCLE] | new index of self is 14
1458362719428|  [CIRCLE] | removed node [54.183.53.167:12664]
1458362719428|  [CIRCLE] | new index of self is 14
1458362719428|  [CIRCLE] | removed node [54.153.110.173:12664]
1458362719428|  [CIRCLE] | new index of self is 14
1458362719429|  [CIRCLE] | removed node [52.27.213.97:12664]
1458362719429|  [CIRCLE] | new index of self is 13
1458362719429|  [CIRCLE] | removed node [52.24.167.227:12664]
1458362719429|  [CIRCLE] | new index of self is 12
1458362719429|  [CIRCLE] | removed node [52.34.15.60:12664]
1458362719429|  [CIRCLE] | new index of self is 11
1458362719429|  [CIRCLE] | removed node [52.34.58.188:12664]
1458362719429|  [CIRCLE] | new index of self is 10
1458362720323|[INTERNAL] | heartbeats received from node [128.208.4.198:12665]
1458362720429|  [CIRCLE] | retrieving node of index 5
1458362720429|  [CIRCLE] | retrieved node [128.223.8.112:12664]
1458362720429|[INTERNAL] | heartbeats sent to node [128.223.8.112:12665]
1458362721430|  [CIRCLE] | retrieving node of index 6
1458362721430|  [CIRCLE] | retrieved node [134.197.113.4:12664]
1458362721430|[INTERNAL] | heartbeats sent to node [134.197.113.4:12665]
1458362722122|[INTERNAL] | heartbeats received from node [128.208.4.99:12665]
1458362722392|[INTERNAL] | heartbeats received from node [142.103.2.2:12665]
1458362722430|  [CIRCLE] | retrieving node of index 7
1458362722430|  [CIRCLE] | retrieved node [134.197.113.3:12664]
